Review Text,label
"I didn't feel like a patient next in line to be picked and probed. Doctor Rochon was pleasant and we talked, not like doctor to patient, but person to person.<br>I asked questions out of curiosity and he provided answers with an explanation and gaves examples.<br>He reviewed my health history and followed up with questions to confirm or otherwise. I felt like he was concerned and not about hurrying up to get to the next person or just be done for the day<br>As for those needles, the procedures were necessary but that part of the appointment was not so nice ☝🏽!",positive
"The front desk staff helped me get in to see sports doc Dr. Glazer on short notice (to deal w a sudden severe knee pain).  He was very efficient and supportive in his exam and treatment, listening to my explanation and responding clearly and helpfully. The pain went away pretty much on its own (w help of a med that Dr G prescribed) over the next 2 weeks. 6 weeks later I saw him for a follow-up in which he was again very helpful. (Thankfully the knee is OK now and I better understand how to take care of it.). Many thanks to Dr G and all staff who helped w this episode.",positive
My appointment with Dr. Medley went very smooth. Dr. Medley addressed all my concerns and gave me good advice on how  to improve my health. She listens and respond appropriately. I would highly recommend her.,positive
"My experience was very positive from registration and until end of appointment .<br>The MA was professional/ nice / explained everything during exam. Dr. Rochon, greeted w a smile/ introduced himself. Dr. Rochon, made me feel like could open/ honest during appointment. He explained what my care plan would be moving forward .  Happily to be his patient and the entire team.  The lab tech was professional/ explained everything prior to lab draw.  MA, was outstanding made sure had all documents upon checkout.<br>When returned home received phone call from Radiology to schedule procedures.<br>I am pleased to say my visit was good experience.  The customer service is from staff was100%.  Medical Administration is my career 40 years , always greet the customer w a smile. Patient service starts at the receptionist area.  Thanks to the advocate who let me in the building. I was the first pt there and kudos to Dr. Rochon and his team.",positive
Dr. Leuschen is always an amazing person each visit. She has a great bedside manner and really engages with you on your health journey to make decisions appropriate for your life. I’m grateful to have her as my doctor.,positive
My Dr was very professional and personable. I felt like she really cared about me and was genuinely interested and invested in my physical and mental health!,positive
"Stuck with them for 2 years but finally hit my breaking point. As a provider you see once a year for an annual physical they are fine. But if you ever need care for acute illness a couple of times a year (i.e. strep throat, UTI) they fail every time to provide adequate, basic treatment. Both times in the two years I had to see them for acute illness I ended up having to follow up and paying to go to urgent care (recommended by their office) for treatment. Mind you this is something they can easily manage, further perpetuating inadequate healthcare resources. I’ve had (very important and timely) labs lost , providers show up late or completely miss appointments altogether, and am altogether treated as a burden rather than a human. None of which have ever even given me the respect of an apology. Too big of a healthcare system, and the providers have gotten too comfortable with it. I’ve never felt so completely unheard nor have I had to fight so hard for basic care. And I’m an RN in DC who has seen it all.",negative
"I came here feeling absolutely miserable, after filling out the registration and paperwork online for my appointment. The nurse at the front desk was incredibly mean to me and raised her voice at me for ""not filling out the paperwork"", even though I submitted the paperwork and received the balloons page online. It was really bizarre. There were 2 other people in the lobby and I ended up waiting over an hour to be seen once I got back into a room in addition to the extended wait in the lobby (despite arriving a few minutes early). I would not return here unless there was no other place to go.<br><br>yes, this was at the primary care office in navy yard.",negative
My appointment was 3pm come early because I didn’t where I was going. Front desk able to take me an hour early  to see Dr. Deklotz he was so nice and able to explain everything  to me where I can understand what was my problem and his asst He was good as well<br>Thank you for taking care of me and fill me in for early appointment . Thank you,positive
"Dr Meghane and the technician, Tasleem were both excellent and super helpful. I had come in due to a chest injury and they made me feel really comfortable. Kudos to the MedStar team!",positive
"Have requested appointments multiple times for weeks, but have yet to hear back even once.<br><br>Wish they were as responsive as they are to positive reviews on here.",negative
Monica is always so helpful in facilitating my appointment. Dr. Kalra is knowledgeable and has great bed side manner.,positive
"Clean, spacious reception area/waiting room; userfriendly electronic sign in (same features/format as pre-visit check-in - HINT save time during office visit by completing previsit check-in); warm welcoming and professional front desk service, nursing staff/technicians and physician; timely placement in patient room; convenient on-site lab services on-site with easy online registration and processing; quick, comprehensive visit summary w/ referrals and recommendations.",positive
Dr Kalra is the most compassionate person I know. He takes the time to understand the issue and will offer options for addressing the condition.,positive
"I have never had a doctor that I'm as comfortable with as Shryl Sistrunk. She really listens, takes her time (when she can), and has a sense of humor.  I trust her.",positive
Dr. Medley is always right on time and spends quality time with me. She makes connections between issues by really listening to her patients.,positive
"I like that appointments stay on schedule and that lab work is done at the same location within minutes. Also, Dr. Bailey and staff display the utmost professionalism.",positive
"I went to this appointment with concerns over lab results and questions and when I tried to discuss a plan with the physician he indicated he could not help me and did not have a recommendation.   When I asked about a time frame for some other lab results based on his experience, his response was not helpful and stated it was beyond his control/. There was no need for this appointment as I already read the results and understand them as I am a nurses.I will be seeking a new place to obtain care.  So disappointed and frustrated.<br><br>The medical assistant was so kind and caring.  He made me feel welcomed and at ease.  He was friendly and listened and he was amazing!!",negative
"Telehealth visits are very convenient, but a little confusing to know when it starts.  I needed a step between the appointment and when the doctor was ready to start.",positive
"The staff themselves are kind and competent, but this location appears to be entirely overworked with far too many patients for the available doctors. After a year of being a patient here, I am moving on to another primary care provider after repeated issues around getting appointments, having my formerly scheduled appointments rescheduled by the office (pushed out a month from the original scheduled date), and a general lack of follow-up by my providers. If you can get in and are able to advocate for yourself, you may get great care here during your actual appointments, but I'm so tired of having to try so hard and wait at least a few months just to be seen, run out of time in the appointment so nothing is accomplished, and get scheduled for a follow-up that then gets pushed out even further by the office. I truly hope this practice gets more providers to appropriately manage their case load and do not recommend any patients with chronic or complex health issues pursue care here until they do.",negative
On behalf of my husband Nathaniel Hayes Dr Rochon was an excellent caring  doctor who will sit down and go over ever details and concerns you may have.,positive
Medstar has some Great Doctors.My Primary was Doctor was able to make me an appointment with a Specialist 2 hours after my appointment with him.That's what you call going above and beyond Service,positive
"Dr. Sunil Kalra is my primary doctor and I don’t have any concerns or issues with the care I’ve been provided.  He’s an excellent doctor, patient, and thorough.  Appreciate his completeness.",positive
Dr. Systrunk was able to see me in between patients. The front desk was helpful at the check in and with setting up next appointments,positive
"I love and trust my doctor (Dr. Sistrunk ) , and her staff.  The waiting room is clean and comfortable .  Also,  the front desk people gently guide you through check in process and how to check in for lab work.  The phobomists are very polite and have never needed to stick me more than once (I have small veins that move [as I have been told for years, as a regular red cross donor]).<br><br>In other words, great team!👍🙂",positive
"MedStar is professional and attentive in helping us/you and me with our health issues. Best medical care in the country. You pick them, and you picked a good one.",positive
"I had my first appointment with Dr Bailey and was impressed.  She was thorough,  understanding, and so knowledgable.  It was my best experience going to the doctor - esp when trying to find a new doctor.",positive
"Doctor & assistant were thouough, and communicated well. An unexecuted referral was updated. Wait time was minimal for exam & Labcorp procedure.",positive
"Dr medley and the staff are fantastic!  Caring, take time to listen, thoughtful.    I’m so happy to go here",positive
"This place doesn't deserve any stars whatsoever. The front desk personnel are not only incompetent but also highly disrespectful, condescending, and racist. Their attitude is appalling and unacceptable. The wait time for blood work is absurdly long, even though it's just to get blood drawn and not to see a doctor. The level of disorganization and lack of efficiency is astonishing. If you value being treated with basic human decency and respect, steer clear of this place. It's an extremely frustrating and demeaning experience that no one should have to endure. Avoid this place at all costs if you don't want to be treated like dirt.<br><br>As for the Dr. who saw me, here is my letter to her:<br><br>Dear Dr. Sylvia R. Medley,<br><br>I am writing to express my deep disappointment and concern regarding the way you treated me during my recent visit to your clinic. Given your experience and age, it is truly disheartening to see such a lack of compassion and professionalism in your interactions with patients. It is not just your medical education that should guide you to be kind and considerate, but also your life experiences. Unfortunately, my experience with you has left me feeling that you are both heartless and rude.<br><br>During my visit, I felt completely unheard and disregarded. Despite my attempts to communicate my concerns, you essentially instructed me to wait and then never returned to the room. Instead, you sent another staff member who seemed completely unaware of my situation. This kind of treatment is unacceptable, especially in a busy clinic where you encounter numerous patients who rely on your care and expertise.<br><br>Given the severity of my experience, I strongly believe that someone with your approach should not be allowed to serve patients in such a high-volume environment. Patients deserve a doctor who listens, understands, and provides compassionate care.",negative
"My Wife had to go Urgent Care -Navy Yard, Wednesday, 02 October 2024, the receptionist Ariana Parker showed what customer service was all about! She greeted us, explained what my Wife had to fill out, was warm, pleasant, and friendly.  It wasn't just us she was that way with, while in waiting room , she displayed same pleasantries to 4 other patients that were there or came in, then when called back Nurse Angela was very pleasant as well, and when Dr Katherine came in and performed procedure on my Wife, Nurse Angela was very supportive and comforting to my Wife, Dr Katherine was great at finding out what( was going in, then explaining what she had to and was going to do, then did a phenomenal job during and after procedure.  I  know this is lengthy review but best experience with an emergency treatment, which is compliment to staff!!! Had to share positive experience, because in my opinion, people are quick about complaints and short on compliments. Again Great job, and mahalo 😇🌺🌷🌻💜💙👌🏾<br>Thomas J Blair Jr (Aundria)",positive
"Medstar Navy Yard Location....<br>What a difference two years makes—and not in a good way! Getting an appointment through MedStar in the DC area now takes 60 to 90 days, and after waiting over two months for my scheduled visit at MedStar Navy Yard, they called and canceled it. I called back expecting to be reasonably rescheduled—only to be told the next available isn’t until **JULY**. Absolutely not acceptable. Whatever MedStar (Navy Yard) was doing two years ago, you seriously need to revisit it. This is beyond frustrating and completely unfair to patients trying to access care.<br><br>Check in was smooth. Wait time from check-in to vitals room less than 20 mins. Vitals to seeing the Dr. less than 15 mins.  Dr. Downing was amazing! Patient, attentive, knowledgeable, SUPER compassionate and kind. The staff was nice and efficient.",negative
I’ve been to this location twice. Both experiences have been great. Very smooth check-in and reasonable waiting period for same day service.,positive
"Dr. Sunli Karla is an outstanding brilliant physician.<br><br>I am so grateful that I am onboard with him as my new primary care physician.<br><br>He's very thorough, and I feel comfortable with him.<br><br>The rest of the staff is great too.<br><br>Thank you for accepting me as a new patient!<br><br>Sincerely,<br><br>John Duvall",positive
Dr Sistrunk is the best!  She listens and works with you to determine the best path forward.  Highly recommend her.,positive
"I prefer this MedStar Urgent Care. They are so kind from the front desk to the doctor & phlebotomist. Professional, swift service.",positive
"Dr Sistrunk is very professional, patience, caring and extremely excellent at her profession.",positive
"Could not recommend against this practice more strongly. Had a fairly serious health scare recently and my doctor made the process of obtaining necessary care and referrals to specialists incredibly challenging.<br><br>She also behaved as though submitting referrals to my insurance was an inconvenience and it took her over a month (and then, it was only after multiple calls and emails) to do so.",negative
"I have never been treated so rudely at a Dr.'s office. I was called at 7:30 am and rudely asked to change my appointment from 4:40 pm to 4 pm. Then I received another call at 9 am and again rudely asked why I wanted to see the Dr. The lady would not accept that it was the Dr who requested the appointment. The of course at 4 pm no one calls me and I don't have my appointment. I then receive several callas around 5 pm, which I imagine was the Dr, but of course I could not respond because I was at that moment driving and because I was already told my appointment was changed. Terrible experience and I still need to see a Dr.",negative
"Updated Review!<br>Please don’t see this lady Dr. Medley and this office!!!! Turns out the blood results that this ^ doctor failed to provide me support with was precancerous. AGAIN due to her lack of support and preventative medical care which this is the reason why we see a primary care doctor for preventative care, I had to meet with a new supportive doctor through GW Medical office and they supported me through my life-changing events. Plus the office doesn’t hold this behavior accountable, they just will give you a Chipotle gift card after your precancerous blood work is done with no follow up. Please I beg you people, DONT MEET WITH THIS DOCTOR.<br>Follow up-<br>I tried returning for my primary care annual appointment And things did not change. The first issue I had was my primary care doctor didn’t even know that I was scheduled for my annual appointment. I saw my doctor, but only 15 minutes altogether and wasn’t given the proper referrals for issue that I had. I tried to address another Concern Doctor Only to be told by the nurse That the doctor will not see you anymore because they were With another patient. This will be my last time With this office, which is sad I’ve been attending here for 10 years.<br><br>Meet at your on risk, you will only be a number to check off a to-do list and not a individual. Lately it appears that I’m receiving healthcare by email from Dr. Medley. During my appointment on February 1, 2024, it felt like I was at a fast food restaurant only seeing her for 15 minutes for an annual visit. Now I need further support but her next follow up appointment is in April. I wish I had a PCP doctor that cared a little bit about me individually. At this time I choose to locate one. I hate to do this to another black woman, but I truly feel my health will decline under Dr. Medley’s care, she is too busy to notice me.<br><br>Honestly I believe the staff gave everyone a gift card for putting a Five Star review. This has not been my experience with Navy Yard Medstar. Although Dr. Medley is great the medical Front desk staff is the worst. They possess lack of professionalism and care for the client. It takes the staff forever to relay a message to the primary care doctor even respond back.<br>Also, when you arrive to the the customer service is very lackluster<br>The staff forgot to charge me my co-pay then sent my name to Collections",negative
"Professional ,efficient. and courteous! Kudos to Dr. Glaser, Megan, the Xray Technologist, and the Business Associates at the entrance and exit!",positive
"Dr. Medley is the best physician at this MedStar location. She listens, gives sound advice, and provides information on services available within the MedStar network. She has made all the difference in my healing journey.",positive
"The staff was helpful and pleasant, the wait was short, Dr Sistrunk was thorough and interested in me. Except for the  vaccines it was a nice experience.",positive
My doctor Medley was very unforgiving with the zooom technology because the internet was not unemdiately pick up the zoom link… I felt insignificant.. and she wouldn’t reschedule si u could get to a better connection..,negative
The doctor I saw here had a mean demeanor. She actually put things in my record that I did not say. And she also accuse me of being irritated when I ask questions I would not recommend,negative
"My experience at MedStar was Very Pleasant. The guy that assisted me prior to seeing the Doc. was a Joy to work with, he was helpful, Caring & made me very comfortable. The Doc was very insightful & to the point which I appreciated. I felt good under his care.",positive
"Everything were great,  The people were very friendly  and very  helpful.  Everything  was explained to you.",positive
"The staff is amazing, had some shortens of breath issues going on and they were able to work me in for the next day appt. Dr. Rochon is amazing and I’m glad to be his patient.",positive
"The front desk has greatly improved, and customer service was both friendly and personal. I was very appreciative of the help I received from the staff.  I did not have to wait past my appointment to be seen.  The assistant to the doctor was friendly and helpful.  And the doctor was professional and listened to my questions and gave thoughtful answers.  All together, it was a very positive experience.",positive
"Dr, Sistrunk is Excellent!  Support staff not so.  Twice during the last year I was not notified of cancellations.",positive
"I just had my first appointment with Dr Medley and was so pleased to meet her and now have her in my court.  Dr. Medley showed interest in me and any medical issues or concerns that I had. She was very proactive in arranging diagnostic tests, efficient in having them carried out and responsive with test results, prescriptions and referrals.  Couldn’t ask for more.   And, she’s got a hearty laugh!",positive
Dr. Glacier was very thorough and put me at ease with his humor. The entire team made me feel seen.,positive
"Dr.Rochon and  nurse assistant  was very  thorough  and  explained  my concerns  very well,  the lab technician was also very   good  .",positive
"I'm so sad that my Dr. Sener Is leaving. She is Amazing and I will truly Miss her. She has taken such awesome care of me. It's like a child taking their first steps as a parent let's go of their hand . I wish her all the Blessings from Heaven. She has been my Dr., my friend. The building is amazing. There is little wait time , the staff is friendly,  professional and fun. They treat you with the utmost respect.  The exam rooms are fresh and clean always.",positive
"A good team!  It would be 5 stars, but 40 min late.  Clinically top notch, very thorough and a good listener (a reason for late).  This is a good city location.",positive
"Dr. Rochon is awesome, one of the few doctors I've met recently that takes the time to listen to everything you have to say and direct you to the proper resources. Both virtually and in person, you will feel that he takes your medical needs seriously. Highly recommend him!<br><br>I give 4 stars due to the intake process (which is more of a MedStar as a whole issue). I was asked for pictures of my insurance card multiple times and though the submission is always approved, the information is not updated in my chart, which leads to delays in billing. Hopefully that process can be smoother in the future for patients.",positive
"Dr. Bailey was so patient, thorough, and willing to listen to me! She gave me time at the end of my visit to ask any questions. Each and every staff member was so kind as well. I loved getting to chat with everyone, and I felt much more at ease than I expected to in a doctors office.",positive
"MedStar Health. My primary care doctor, Shryl Sistrunk is the best. The healthcare staff are very courteous and friendly. I go early and leave out early.",positive
"I had a pleasant experience at Medstar this week which began walking into the building. The security guard was so polite and helpful. She went to replenish the mask  container. She said, have a seat I will get it. The ladies behind the front desk were pleasant and seem to enjoy their job. The nurse who took my vitals was very nice, professional and pleasant. Dr.  Sistrunk listened to my concerns and took them into consideration. They couldn't draw my blood so I will visit another location.",positive
"Dr. Bailey (MedStar Team) seeks to provide quality health care. They search deeper to analyze data to better understand the individual needs. It is not a one size fits all approach. They take into account the intricacies of genetics, environment, and experience. The Team takes the health of a person seriously and aim to remedy problems or stave off potential health issues. It was an extensive doctor's visit but very much warranted. People generally do not look forward to doctor appointments. When you have an experienced team who cares about improving the health of the individual, it makes for a less daunting encounter... After a beloved doctor's departure, it is nice to be in good hands again.",positive
Dr Sistrunk is excellent.  She is a through professional that is always prepared and empathetic.  She has diagnosed several major health issues that saved my life.<br>I am truly grateful and appreciative of her expertise.,positive
I was seen in a timely manner. My doctor went over we my chart me and discussed why I was in today. We talked about my other doctors concerns. Ordered lab work and a done deal. So the doctor was great. Also the ladies up front were the best I was struggling with back pain to walk and one of the ladies in orthopedics saw me struggling and told the ladies in primary care that it looked like I might need some assistance. One of the ladies in primary came out with a wheelchair took me in and helped me register. I thought that was very kind of them. I worked at Georgetown for over 20ys and this is one of the best show of kindness and would like to thank the front ladies in orthopedics and primary care for  their kindness. Please tell them thanks for me.,positive
"Do not use this practice if you actually want to be seen by a provider. I have been a patient of Dr. Bailey's for years now, and still can't get an appointment. I began trying in October of 2023 when I needed a prescription refill, they said the first available with Dr. Bailey was December of 2023, so I took the appointment. Then the day of the appointment it was ""bumped"". Then this happened again when I was rescheduled for both March and June. Because you can't get an appointment that is less than 2-3 months away from when you call. They also show very little sympathy when you've been ""bumped"".",negative
Was seen promptly. Absolutely love that Dr. Rochon listens and does not make his patients feel that he has to rush to the next person. Very pleased with Dr. Rochon and the entire staff at Navy Yard.,positive
"Arrived early for my 8:30 AM appt for lab tests to accompany my annual physical and was told to sit in waiting area after signing in.  Many patients came and went following my arrival, so after waiting 30 minutes I asked when I would be seen and was ignored by the  front desk clerk. 15 minutes later I was finally called by the lab tech, at which time I was informed that my Dr. had not issued a proper order and was not available for confirmation's so I could not get the tests performed as scheduled! I wasted over 90 minutes on a morning which I had no time to spare and was denied service because my Dr. didn’t submit his order for tests he wanted done and was duly scheduled as ordered. Incompetence!",negative
I was very happy with my visit today at MedStar Health. Dr. Downing could not have been kinder. She spent a lot of time trying to get to know me and my health issues as I am a new patient. Her support staff was also very nice and the facility was clean and comfortable. I recommend this practice without hesitation.<br>I’m sorry to have to change this review but I waited to see Dr. Downing so that I would have a doctor who knows me. I am now sick at the beginning of January and she can’t see me until February. That makes no sense at all! I am able to be seen by another Dr in the practice but that is not at all the kind of care I was looking for.,positive
"Dr. Kalra is an ace; kind, considerate, and intelligent. He's got me for live, which,, as I am 88, is only a mild threat.",positive
"From reception to medical care, my experience with Medstar has been great.",positive
Staffs were friendly and I didn’t wait long to get the labs and see the doctor,positive
"Dr. Robinson took excellent care of my husband Todd Williams when he had a medical crisis earlier this year. He is attentive professional, and thorough. We both appreciate his care and treatment protocols.",positive
"I had a great experience at MedStar Med Group at Navy Yard. I am a new patient and left feeling great. From the time I walked in until I left. The staff at the front desk was kind, patient and greeted me (everyone) with a smile and kind spirit. They checked me out with the same smiles and kindness. I saw them handle elderly clients with such care & support.  The medical team - from nurses to techs to the doctors - were all professional, timely and had great customer service. Dr. Downing is AMAZING and her nurse Tameka was great too. They both took such care and time with me. I didn’t feel rushed and I didn’t feel forgotten. Kudos to the entire team. I hope that whatever they are doing to ensure strong professional service continues. Thank you for all you do and providing such a great first experience.",positive
"1) Lack of responsibility<br>2) Disrespect for past commitment<br>3) Insensitivity to the situation<br>4) Focusing only on doctors and neglecting patient care.<br><br>I scheduled an annual physical check-up appointment at this center. First, I called and made the appointment, and then I completed all the necessary paperwork online. Finally, everything was confirmed one month ago. However, just today, a few days before the scheduled appointment, I received a message stating, 'We regret to inform you that your appointment with Dr. Medley on 12/26/2023 needs to be rescheduled.' Oh my god, my carefully planned holiday schedules and travel plans for this appointment are now completely disrupted. I called the center to inquire about how this happened, but the call center informed me that Dr. Medley is responsible and they are unable to assist.",negative
"This place is disorganized, hard to get in with, and generally disappointing. Doctors complain about being understaffed and under-supported by higher ups. This is not my problem as the patient.<br><br>I had sent 5 messages on the portal and called 3 times to get a pre-op physical for cancer surgery. It’s ridiculous that I had to do that. I’m grateful to be in my 30s, but if I was a senior citizen, it would be impossible-would probably die waiting, literally.<br><br>I will say their med techs are good and the location is clean.<br><br>Options are limited in DC and I think GW would be worse, so pick your poison.",negative
Love my Dr. Medley. She’s been the best for me over the years,positive
"Updated: as of 2/15 still have not heard from doctor on lab results for  appointment that took place over a week ago. Community manager has asked me to fill out a survey below but no call regarding my actual health or results which could be abnormal<br><br>Still waiting to hear from Dr. Sistrunk about my lab results. I guess I will be waiting forever because Scheduler says I need to arrange a telemedicine appointment to go over results. No one has contacted me about results or next steps, and resulted were posted in the portal the next day. Scheduler also asked me if anything was abnormal on my results like I have the medical degree to interpret lab results. I had to call them.<br><br>Also, Dr. Sistrunk rushed my appointment as a new patient and didn’t give the proper attention because she was too worried about getting to the next one.<br><br>Overall, poor service. Look elsewhere unless you like giving your money away for doctors to just ask you a bunch of questions and not follow up and give thorough care and service.",negative
"I was so impressed with the staff, the cleanliness of the waiting room and the cleanliness of the examination room. Dr. Sistrunk is everything that I had imagined. Very through. It was a honor to meet Dr.  Sistrunk.    KUDOS!!!!!!",positive
Just excellent!  I love my doctor Janelle Leuschen and staff. KUDOS 👍🏽 👏🏽 💐 🩷🩷💯,positive
"Dr. Downing was wonderful! She was kind, trustworthy, and easy to talk to. I felt heard and seen. She listened intently to my concerns and I didn’t feel rushed. I would highly recommend her! Additionally, the front desk staff as well as the medical assistant were all friendly, patient, and professional. I am thoroughly pleased with my experience and have already shared her information with a few family and friends.",positive
"I had high hopes after such a wonderful experience for my initial appointment. The wait was short and the nurse who took my vitals was amazing and super nice- I wish I remembered her name because she deserves a shoutout and a raise. The doctor I saw was nice, but didn’t seem particularly knowledgeable about a prescription I have been prescribed for over a decade, and kept insisting only a psychiatrist could provide me this prescription. I thought that to be offensive because I’ve always had my primary care doctor prescribe me this prescription, and have never been told to see a psychiatrist for this script. However she agreed to write me a refill. Unfortunately she called in the wrong prescription, and despite calling the office everyday for a week I have not received a single update. I was told on Monday this would be remedied within 48 hours. It is now 5 days later. I sent a message yeaterday through the portal to the Dr. asking if she had called the pharmacy to correct the prescription. The response I received back was so insulting. She responded with a list of 10+ psychiatrists with 0 context and no answer to my question. I am feeling really cast aside by the healthcare system and really confused over this. It feels like my medication is being held hostage. If they are busy- just communicate it- don’t leave patients in the dark wondering when or IF they will ever get their prescription.",negative
"This is the first Google review I have ever left, so clearly am passionate about how terrible my experience was here and want to help others know before they visit. I had the worst possible physicians yearly visit experience here! I waited for maybe 45 minutes to an hour to even see the doctor and apparently asking a few questions about my health meant that I got billed an additional $230 (in addition to the regular checkup fee that my insurance covers) because it was outside the standard visit that only covers heart rate and blood pressure? I promise you this was not an extensive visit, I doubt I was seen for more then fifteen minutes. There is no cost transparency, long wait times, poor service - do not go here! I for one will surely will never return to MedStar",negative
"5 stars for the front desk staff, and lab techs. Dr.Sistrunk was horrible. She doesn’t care about your reason for the visit. You are merely a number on the long list of patients they MUST see based on their job requirements. One day after my visit and I have abnormal lab results. I have yet to be contacted. SMH",negative
My appointment was seamless and efficient. The front office staff were professional and attentive. The nurse and the doctor were amazing! The only reason I did not give 5 stars is because of the long delay in securing an appointment.,positive
"MedStar Health @ Navy Yard is amazing!  Everyone is extremely helpful and professional, from the receptionists to the nurses to the doctors!  They are very patient and understanding, in that they listen and really try to get to the root of whatever might be the issue.  Doctor Rochon is great!  I hadn't been to a doctor in years, and he made me feel extremely comfortable as well as taken care of!",positive
"My appointments are easy to schedule and always on time. Everyone from reception, to intake nurses and my doctor are pleasant, caring and knowledgeable.",positive
"Today was my first visit to get established as a new patient. Dr. Downing is the best primary physician I have ever seen. Her bedside manner is fantastic. She listened to me, is funny, real, and incredibly personable all while being knowledgable, helpful, and addressed several concerns with a comprehensive plan. The nurse I had was great too. I had zero wait time and found the front desk staff awesome as well. I’m so glad I switched to Medstar.",positive
5/2 was my second time (and 8/26 was my third) having to reschedule my virtual follow-up appointment because the Dr was a no show after I waited over an hour in the virtual waiting room. I even reached out to the president of MedStar via email but haven’t heard back from him or anyone on his staff.,negative
"Quick check in, short wait time. Dr. Sistrunk is professional courteous, compassionate and truly listens and cares as well!",positive
Dr Kalra is so caring and thoughtful. I always leave feeling heard and on my way to better health! I love the nurses here and even the front office staff is fun and caring. I left One Medical three years ago to go back to Med Star and have been very happy with my decision.,positive
"Just amazing helpful staff, and the nurse and doctor were so thorough and I felt heard and really looked after !!",positive
My experience with my visits to Medstar has been consistent. Dr.Systrunk is an amazing doctor who cares about her patients. She is always on time and listens to her patients. I know this to be a fact as I have referred many of my friends/colleagues to her for treatment. They all have shared the same sentiments as I.,positive
"Very frustrated with Medstar’s service. I will change providers. Drs change, takes forever to get appointments, telephone agents/front desk are not helpful or nice. Prescriptions refills are not simple. Disappointed to have to start anew.",negative
"I have had great experiences at this MedStar.  My primary care doc - Dr Sistrunk - is wonderful.  And, all the nurses, front desk staff, support staff, etc are always friendly and helpful.  I’m very lucky to live in walking distance to this office!",positive
